form	lemma	POS	morph
༄༅། །		PUNCT
པཎྜིཏསྱནཡམབཏཱརམུཁནཱམཤཱསྟྲབིཧརཏིསྨ་		NON_WORD
།།༄༅། །		PUNCT
མཁས་པ་	མཁས་པ་	VERB
འི་	གི་	PART
ཚུལ་	ཚུལ་	NOUN
ལ་	ལ་	PART
འཇུག་པ་	འཇུག་པ་	VERB
འི་	གི་	PART
སྒོ་	སྒོ་	NOUN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
འི་	གི་	PART
བསྟན་བཅོས་	བསྟན་བཅོས་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།།		PUNCT
		
ན་མོ་	ན་མོ་	X
ཨཱརྱ་	ཨཱརྱ་	NOUN
མཉྫུ་		NON_WORD
ཤྲཱི་		NON_WORD
ཛྙཱ་ན་	ཛྙཱ་ན་	PROPN
སཏྭ་		NON_WORD
ཡ་	ཡ་	NOUN
།		PUNCT
འདི་	འདི་	DET
ར་	ལ་	PART
སྤོབས་པ་	སྤོབས་པ་	VERB
འི་	གི་	PART
གཏེར་ཆེན་པོ་	གཏེར་ཆེན་པོ་	OTHER
བརྒྱད་	བརྒྱད་	NUM
ཀྱི་	གི་	PART
འབྱུང་གནས་	འབྱུང་གནས་	NOUN
།		PUNCT
སོ་སོ་	སོ་སོ་	PRON
ཡང་དག་པ་	ཡང་དག་པ་	ADJ
ར་	ལ་	PART
རིག་པ་	རིག་པ་	VERB
བཞི་	བཞི་	NUM
ཡི་	གི་	PART
མཛོད་	མཛོད་	NOUN
།		PUNCT
ཐེག་པ་	ཐེག་པ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
འི་	གི་	PART
ཆོ་	ཆོ་	NOUN
མངོན་པ་	མངོན་པ་	VERB
གསལ་བ་	གསལ་བ་	VERB
ར་	ལ་	PART
བྱེད་པ་	བྱེད་པ་	VERB
མཁས་པ་	མཁས་པ་	VERB
འི་	གི་	PART
ཚུལ་	ཚུལ་	NOUN
ལ་	ལ་	PART
འཇུག་པ་	འཇུག་པ་	VERB
འི་	གི་	PART
སྒོ་	སྒོ་	NOUN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
འི་	གི་	PART
བསྟན་བཅོས་	བསྟན་བཅོས་	NOUN
འདི་	འདི་	DET
འཆད་པ་	འཆད་པ་	VERB
ལ་	ལ་	PART
།		PUNCT
ཐོག་མ་	ཐོག་མ་	NOUN
ར་	ལ་	PART
